executionTime,symbol,base,quote,marketType,quoteVolume,coingeckoId,coingeckoName,marketCapMillion,marketCapRank,rankBucket,tradingViewLink,assetClass,scanSource,quotePair,aiResearchNeeded,score,scoreTier,reasoning,currentColor,trendDirection,previousColor,oldColor,grayCandles,currentColorAge,validTrendFlip,signal,reason
2026-05-21T19:31:06.963628+03:00,ETHUSDT,ETH,USDT,USDT,461269751.211205,ethereum,Ethereum,257367.8,2,large,https://www.tradingview.com/chart/?symbol=ETHUSDT,crypto,binance,USDT,True,90,A+ Strong,"large-cap stability, top market cap, fresh signal, clean transition, high volume",Blue,DOWN / Bearish,Blue,Gold,2,2,True,Confirmed Gold → Gray → Blue → Blue,Valid confirmed trend flip
2026-05-21T19:31:06.963628+03:00,LQTYUSDT,LQTY,USDT,USDT,156784.9262,liquity,Liquity,26.5,764,small,https://www.tradingview.com/chart/?symbol=LQTYUSDT,crypto,binance,USDT,True,85,A+ Strong,"small-cap potential, small-cap high risk, fresh signal, clean transition",Blue,DOWN / Bearish,Blue,Gold,2,2,True,Confirmed Gold → Gray → Blue → Blue,Valid confirmed trend flip
2026-05-21T19:31:06.963628+03:00,FETUSDT,FET,USDT,USDT,8154256.34311,fetch-ai,Artificial Superintelligence Alliance,436.1,115,mid,https://www.tradingview.com/chart/?symbol=FETUSDT,crypto,binance,USDT,True,80,A+ Strong,"fresh signal, clean transition",Blue,DOWN / Bearish,Blue,Gold,3,2,True,Confirmed Gold → Gray → Blue → Blue,Valid confirmed trend flip
2026-05-21T19:31:06.963628+03:00,WOOUSDT,WOO,USDT,USDT,122572.90695,woo-network,WOO,32.4,673,small,https://www.tradingview.com/chart/?symbol=WOOUSDT,crypto,binance,USDT,True,77,A Good,"small-cap potential, small-cap high risk, fresh signal",Blue,DOWN / Bearish,Blue,Gold,5,2,True,Confirmed Gold → Gray → Blue → Blue,Valid confirmed trend flip
2026-05-21T19:31:06.963628+03:00,PIXELUSDT,PIXEL,USDT,USDT,397066.35958,pixels,Pixels,5.3,1664,small,https://www.tradingview.com/chart/?symbol=PIXELUSDT,crypto,binance,USDT,True,75,A Good,"small-cap potential, small-cap high risk, fresh signal, clean transition",Blue,DOWN / Bearish,Blue,Gold,2,2,True,Confirmed Gold → Gray → Blue → Blue,Valid confirmed trend flip
2026-05-21T19:31:06.963628+03:00,WBETHUSDT,WBETH,USDT,USDT,487098.692422,,,,,unknown,https://www.tradingview.com/chart/?symbol=WBETHUSDT,crypto,binance,USDT,True,60,B Watch,"fresh signal, clean transition",Blue,DOWN / Bearish,Blue,Gold,2,2,True,Confirmed Gold → Gray → Blue → Blue,Valid confirmed trend flip
2026-05-21T19:31:06.963628+03:00,GBPUSDT,GBP,USDT,USDT,213136.9666,,,,,unknown,https://www.tradingview.com/chart/?symbol=GBPUSDT,crypto,binance,USDT,True,52,B Watch,fresh signal,Blue,DOWN / Bearish,Blue,Gold,4,2,True,Confirmed Gold → Gray → Blue → Blue,Valid confirmed trend flip
2026-05-21T19:31:06.963628+03:00,SOLUSDT,SOL,USDT,USDT,234664966.32792,solana,Solana,50054.6,7,large,https://www.tradingview.com/chart/?symbol=SOLUSDT,crypto,binance,USDT,False,0,D Ignore,"large-cap stability, top market cap, clean transition, high volume",Gray,Neutral / Gray,Gray,,,13,False,,Latest two closed candles are not same Gold/Blue color
2026-05-21T19:31:06.963628+03:00,ZECUSDT,ZEC,USDT,USDT,214156625.52424,zcash,Zcash,11006.8,13,large,https://www.tradingview.com/chart/?symbol=ZECUSDT,crypto,binance,USDT,False,0,D Ignore,"large-cap stability, top market cap, clean transition, high volume",Gold,UP / Bullish,Gold,,,33,False,,Two-color confirmation did not come immediately after Gray
2026-05-21T19:31:06.963628+03:00,XRPBTC,XRP,BTC,BTC,102338559.64315,ripple,XRP,84227.2,5,large,https://www.tradingview.com/chart/?symbol=XRPBTC,crypto,binance,BTC,False,0,D Ignore,"large-cap stability, top market cap, clean transition, high volume",Blue,DOWN / Bearish,Blue,,,126,False,,Two-color confirmation did not come immediately after Gray
